序号,章节,行号,占位内容,分类,优先级,责任方,处理动作,上下文
55,2.1.1 响应要求,530,本次投标最终确定的项目履约负责人姓名、岗位,F-项目人员最终指派及证明,P1,项目管理/人事,确认本项目实际投入人员，并匹配社保、劳动合同或任命证明,时间节点要求的，如证书有效期、人员注册有效期、业绩合同签署日期等，均已在附件材料中予以标注，并经我公司内部复核确认。对于因投标时间节点原因尚未最终落定的信息，如【待补充：本次投标最终确定的项目履约负责人姓名、岗位】，我公司承诺在签署合同前按要求提供全部最终有效文件。  **3.4 资料索引**  本章节所有资料原件扫描件或清晰复印件，见本投标文件“资格文件”分册之“附件”部分。附件1-营业执照，附件2-体系认证
56,2.1.2 资料清单,548,授权代理人姓名、身份证号,E-授权签章/联系人/人员姓名,P0,法务/授权经办人,补充最终授权代表、联系人、签字盖章和身份证明信息,附件2：法定代表人身份证明” | | 3 | 法定代表人授权委托书 | 原件扫描件并加盖电子签章 | 已按招标文件第六章格式提供，授权代理人及签署人信息已填写。【待补充：授权代理人姓名、身份证号】 | 详见本分册“附件3：法定代表人授权委托书” | | 4 | 质量管理体系认证证书 | 原件扫描件并加盖电子签章 | 证书编号：06925Q10172R4，认证标准：GB/T 19001-2016
57,2.1.2 资料清单,553,业绩合同签署页签章及中标通知书关键页的清晰扫描件,E-授权签章/联系人/人员姓名,P0,法务/授权经办人,补充最终授权代表、联系人、签字盖章和身份证明信息, 业绩证明材料 | 合同及中标通知书扫描件 | 已提供真实业绩：国网天津市电力公司2022年第二次配网物资协议库存招标采购项目（招标编号：0322AB，包2）。【待补充：业绩合同签署页签章及中标通知书关键页的清晰扫描件】 | 详见本分册“附件8：业绩证明材料” | | 9 | 主要人员资料 | 社保缴纳证明、劳动合同、学历/职称证书扫描件 | 已归集公司核心管理及技术团队人员资料，具体岗位由招标文件和项目实际需求进行
58,2.1.2 资料清单,554,拟投入本项目的履约负责人、项目经理等岗位的最终指派及对应社保/劳动合同资料,F-项目人员最终指派及证明,P1,项目管理/人事,确认本项目实际投入人员，并匹配社保、劳动合同或任命证明,| 9 | 主要人员资料 | 社保缴纳证明、劳动合同、学历/职称证书扫描件 | 已归集公司核心管理及技术团队人员资料，具体岗位由招标文件和项目实际需求进行指派。【待补充：拟投入本项目的履约负责人、项目经理等岗位的最终指派及对应社保/劳动合同资料】 | 详见本分册“附件9：主要人员资料” | | 10 | 信誉声明与无行贿犯罪记录承诺函 | 原件并加盖电子签章 | 已按招标文件要求格式提供，声明在经营活动中无重大违法记录、无行贿犯罪行为。
59,2.1.3 有效性说明,597,开户许可证样张，需人工替换为正式原件,B-保证金/银行账户资料,P0,财务/商务负责人,补充基本账户开户信息、保证金金额、形式、缴纳凭证或保函信息,要点：营业执照在有效期内，无年检异常、吊销、注销等情形；印章清晰完整。  2. **基本账户开户许可证**    - 已提供企业基本账户开户许可证扫描件（见附件【待补充：开户许可证样张，需人工替换为正式原件】）。    - 以银行汇款形式提交的投标保证金，将从我公司基本账户转出，符合招标文件要求。    - 复核要点：开户许可证中账户名称、账号、开户行信息与营业执照一致，且与投标保证金汇款账户一致。  【
60,2.1.3 有效性说明,606,监督审核日期,D-投标承诺期限/日期/响应时限,P0,商务+履约负责人,按招标文件要求和公司承诺口径确认后填写, | 环境管理体系认证证书 | 17424E20980R0M | GB/T 24001-2016/ISO 14001:2015 | 需结合证书监督审核页人工确认【待补充：监督审核日期】 | 华信创认证 | 证书正本已提供，监督审核状态待复核 | | 职业健康安全管理体系认证证书 | 626023S10219R0 | GB/T 45001-2020/ISO 45001:2018 | 
61,2.2 信誉与合规承诺,649,法定代表人姓名,E-授权签章/联系人/人员姓名,P0,法务/授权经办人,补充最终授权代表、联系人、签字盖章和身份证明信息,示系统（www.gsxt.gov.cn）列入严重违法失信企业名单。  3. 我公司不存在因行贿犯罪记录被禁止参加招标投标活动的情形。经自查，我公司及其法定代表人【待补充：法定代表人姓名】、拟派项目负责人【待补充：本项目负责人姓名】在近三年内无行贿犯罪记录。  4. 我公司未被国家电网公司及其所属单位列入供应商不良行为处理名单或处于暂停中标资格、取消中标资格的状态。  【二、禁止投标情
62,2.2 信誉与合规承诺,649,本项目负责人姓名,Z-其他人工复核,P2,投标编制负责人,人工核实后填写,入严重违法失信企业名单。  3. 我公司不存在因行贿犯罪记录被禁止参加招标投标活动的情形。经自查，我公司及其法定代表人【待补充：法定代表人姓名】、拟派项目负责人【待补充：本项目负责人姓名】在近三年内无行贿犯罪记录。  4. 我公司未被国家电网公司及其所属单位列入供应商不良行为处理名单或处于暂停中标资格、取消中标资格的状态。  【二、禁止投标情形自查承诺】  经逐项自查，我公司不存在以下
63,2.2 信誉与合规承诺,681,信用查询截图索引,Z-其他人工复核,P2,投标编制负责人,人工核实后填写,诺依据】  本承诺函的出具依据如下：  1. 我公司已自行查询“信用中国”“国家企业信用信息公示系统”等网站，查询结果均显示无不良记录（附相关查询截图，详见附件【待补充：信用查询截图索引】）。  2. 我公司法定代表人【待补充：法定代表人姓名】出具无行贿犯罪记录个人声明（详见附件【待补充：无行贿犯罪记录声明索引】）。  3. 我公司营业执照、管理体系认证证书等基础证照均在有效期内，不存
64,2.2 信誉与合规承诺,683,法定代表人姓名,E-授权签章/联系人/人员姓名,P0,法务/授权经办人,补充最终授权代表、联系人、签字盖章和身份证明信息,查询“信用中国”“国家企业信用信息公示系统”等网站，查询结果均显示无不良记录（附相关查询截图，详见附件【待补充：信用查询截图索引】）。  2. 我公司法定代表人【待补充：法定代表人姓名】出具无行贿犯罪记录个人声明（详见附件【待补充：无行贿犯罪记录声明索引】）。  3. 我公司营业执照、管理体系认证证书等基础证照均在有效期内，不存在吊销、注销、撤销等异常情形。  【五、其他说明】  1
65,2.2 信誉与合规承诺,683,无行贿犯罪记录声明索引,Z-其他人工复核,P2,投标编制负责人,人工核实后填写,显示无不良记录（附相关查询截图，详见附件【待补充：信用查询截图索引】）。  2. 我公司法定代表人【待补充：法定代表人姓名】出具无行贿犯罪记录个人声明（详见附件【待补充：无行贿犯罪记录声明索引】）。  3. 我公司营业执照、管理体系认证证书等基础证照均在有效期内，不存在吊销、注销、撤销等异常情形。  【五、其他说明】  1. 本项目投标保证金【待补充：投标保证金金额及提交方式】、履约保证金【
66,2.2 信誉与合规承诺,689,投标保证金金额及提交方式,B-保证金/银行账户资料,P0,财务/商务负责人,补充基本账户开户信息、保证金金额、形式、缴纳凭证或保函信息,声明索引】）。  3. 我公司营业执照、管理体系认证证书等基础证照均在有效期内，不存在吊销、注销、撤销等异常情形。  【五、其他说明】  1. 本项目投标保证金【待补充：投标保证金金额及提交方式】、履约保证金【待补充：履约保证金承诺】等信息待后续补充。  2. 本承诺函作为资格文件组成部分，与投标文件其他章节具有同等效力。  3. 本承诺函的签署和生效信息如下（由授权代理人填写）：      
67,2.2 信誉与合规承诺,689,履约保证金承诺,B-保证金/银行账户资料,P0,财务/商务负责人,补充基本账户开户信息、保证金金额、形式、缴纳凭证或保函信息,认证证书等基础证照均在有效期内，不存在吊销、注销、撤销等异常情形。  【五、其他说明】  1. 本项目投标保证金【待补充：投标保证金金额及提交方式】、履约保证金【待补充：履约保证金承诺】等信息待后续补充。  2. 本承诺函作为资格文件组成部分，与投标文件其他章节具有同等效力。  3. 本承诺函的签署和生效信息如下（由授权代理人填写）：      授权代理人：【待补充：授权代理人姓名】
68,2.2 信誉与合规承诺,694,授权代理人姓名,E-授权签章/联系人/人员姓名,P0,法务/授权经办人,补充最终授权代表、联系人、签字盖章和身份证明信息,充。  2. 本承诺函作为资格文件组成部分，与投标文件其他章节具有同等效力。  3. 本承诺函的签署和生效信息如下（由授权代理人填写）：      授权代理人：【待补充：授权代理人姓名】      签署日期：【待补充：签署日期】      投标单位名称（盖章）：河北泰昌电力器材科技有限公司  ---  **附件索引：**   - 附件1：信用中国查询截图（样张，需人工替换为正式截图）
